Chinese,Pinyin & English
必须,bìxū - must
变化,biànhuà - change
发现,fāxiàn - discover/find
解决,jiějué - solve
决定,juédìng - decide/decision
了解,liǎojiě - understand/know about
明白,míngbai - understand/clear
完成,wánchéng - complete/finish
需要,xūyào - need
选择,xuǎnzé - choose/choice
应该,yīnggāi - should/ought to
愿意,yuànyì - be willing to
记得,jìde - remember
忘记,wàngjì - forget
相信,xiāngxìn - believe/trust
同意,tóngyì - agree
回答,huídá - answer/reply
要求,yāoqiú - require/requirement
根据,gēnjù - according to
如果,rúguǒ - if
