English & Pinyin,Chinese
Weekend / Zhōu mò,周末
Be on time / Yào zhǔnshí Bùyào chídào,要准时 不要迟到
Previously / Céng jìng,曾迳
Knowledge / Zhīshì,知识
Day / rizi,日子
Productive / Chōngshí,充实
To fulfill / Chōngshí,充实
Rock climbing / Pānyán,攀岩
Once in a while / Õu'ěr,偶尔
Fast food restaurant / Sù shí diàn,速食店
Legend / chuánshuō,传说
A has helped B / Long time no see / Duì... Yǒu bāngzhù / Hǎojiŭ bùjiàn,对。。。有帮助 / 好几不见
Future / Jiānglái,将来
Hamburger / Weekend / Hànbão / Zhōumò,汉堡 / 周末
Usually / Tōngcháng,通常
Age / Niánlíng,年龄
Week / Zhōu,周
Age / Niánjì,年纪
Get to meet / Rènshí,认识
Strict / Yángé,严格
To explain / Shuōmíng,说明
Hot / Yánrè,炎热
Coastal areas / Yánhăi dìqū,沿海地区
Annual precipitation / Nián jiàngshuǐ liàng,年降水量
Serious / Yánzhòng,严重
Day by day / Rì jǐn,日仅
Very / Shífēn,十分
Elevated / All day / Xiàngshàng bágão / Zhěng tiān,向上拔高 / 整天
The next day / Dì èr tiān,第二天
Qing dynasty / Last year / Qīngcháo / Mònián,清朝 / 末年
Century / Shiji,世纪
Once more / Chóngxĩn,重新
Everyday clothes / Biànfú,便服
Century / Shiji,世纪
Solar calendar / Yánglì,阳历
As in past / Zh照旧,照旧
Food / Shípĩn,食品
Food / Shíwù,食物
Season / Shíjié,时节
